5	810	192	14	14.00	0.00
10	810	192	15	15.00	0.00
15	810	192	4	4.00	0.00
20	810	192	7	7.00	0.00
-20	810	195	11	11.00	0.00
-15	810	195	7	7.00	0.00
-10	810	195	16	16.00	0.00
-5	810	195	13	13.00	0.00
0	810	195	10	10.00	0.00
5	810	195	11	11.00	0.00
10	810	195	12	12.00	0.00
15	810	195	14	14.00	0.00
20	810	195	13	13.00	0.00
-20	810	198	14	14.00	0.00
-15	810	198	14	14.00	0.00
-10	810	198	10	10.00	0.00
-5	810	198	14	14.00	0.00
0	810	198	11	11.00	0.00
5	810	198	11	11.00	0.00
10	810	198	9	9.00	0.00
15	810	198	9	9.00	0.00
20	810	198	11	11.00	0.00
-20	815	174	13	13.00	0.00
-15	815	174	13	13.00	0.00
-10	815	174	9	9.00	0.00
-5	815	174	9	9.00	0.00
0	815	174	9	9.00	0.00
5	815	174	14	14.00	0.00
10	815	174	10	10.00	0.00
15	815	174	11	11.00	0.00
20	815	174	4	4.00	0.00
-20	815	177	9	9.00	0.00
-15	815	177	16	16.00	0.00
-10	815	177	7	7.00	0.00
-5	815	177	22	22.00	0.00
0	815	177	25	25.00	0.00
5	815	177	12	12.00	0.00
10	815	177	17	17.00	0.00
15	815	177	14	14.00	0.00
20	815	177	13	13.00	0.00
-20	815	180	15	15.00	0.00
-15	815	180	16	16.00	0.00
-10	815	180	6	6.00	0.00
-5	815	180	25	25.00	0.00
0	815	180	23	23.00	0.00
5	815	180	5	5.00	0.00
10	815	180	10	10.00	0.00
15	815	180	10	10.00	0.00
20	815	180	9	9.00	0.00
-20	815	183	5	5.00	0.00
-15	815	183	6	6.00	0.00
-10	815	183	22	22.00	0.00
-5	815	183	83	83.00	0.00
0	815	183	98	98.00	0.00
5	815	183	20	20.00	0.00
10	815	183	11	11.00	0.00
15	815	183	7	7.00	0.00
20	815	183	8	8.00	0.00
-20	815	186	13	13.00	0.00
-15	815	186	6	6.00	0.00
-10	815	186	47	47.00	0.00
-5	815	186	347	347.00	0.00
0	815	186	376	376.00	0.00
5	815	186	38	38.00	0.00
10	815	186	15	15.00	0.00
15	815	186	14	14.00	0.00
20	815	186	6	6.00	0.00
-20	815	189	13	13.00	0.00
-15	815	189	16	16.00	0.00
-10	815	189	32	32.00	0.00
-5	815	189	237	237.00	0.00
0	815	189	205	205.00	0.00
5	815	189	37	37.00	0.00
10	815	189	7	7.00	0.00
15	815	189	10	10.00	0.00
20	815	189	5	5.00	0.00
-20	815	192	4	4.00	0.00
-15	815	192	8	8.00	0.00
-10	815	192	21	21.00	0.00
-5	815	192	44	44.00	0.00
0	815	192	51	51.00	0.00
5	815	192	15	15.00	0.00
10	815	192	15	15.00	0.00
15	815	192	10	10.00	0.00
20	815	192	9	9.00	0.00
-20	815	195	6	6.00	0.00
-15	815	195	14	14.00	0.00
-10	815	195	10	10.00	0.00
-5	815	195	15	15.00	0.00
0	815	195	9	9.00	0.00
5	815	195	11	11.00	0.00
10	815	195	11	11.00	0.00
15	815	195	8	8.00	0.00
